日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,美国国债收益率10年
2020-12-21,2.225,2.482,3.571,3.66,380.972
2020-12-22,2.257,2.477,3.526,3.645,384.456
2020-12-23,2.24,2.476,3.543,3.684,386.095
2020-12-24,2.27,2.453,3.536,3.664,383.992
2020-12-25,2.264,2.444,3.525,3.644,388.686
2020-12-28,2.269,2.448,3.488,3.658,386.32
2020-12-29,2.257,2.421,3.513,3.689,385.563
2020-12-30,2.239,2.391,3.536,3.702,385.468
2021-01-13,2.255,2.5,3.605,3.661,375.595
2021-01-14,2.267,2.501,3.621,3.63,376.774
2021-01-15,2.277,2.511,3.647,3.634,377.344
2021-01-18,2.278,2.499,3.648,3.651,376.294
2021-01-19,2.265,2.464,3.64,3.623,378.697
2021-01-20,2.266,2.45,3.686,3.658,378.888
2021-01-21,2.282,2.456,3.659,3.659,378.323
2021-01-22,2.282,2.449,3.628,3.648,378.255
2021-01-25,2.312,2.468,3.605,3.693,378.098
2021-01-26,2.296,2.492,3.59,3.694,378.837
2021-01-27,2.243,2.487,3.571,3.686,374.752
2021-01-28,2.258,2.489,3.525,3.725,374.266
2021-01-29,2.283,2.467,3.495,3.753,371.53
2021-02-01,2.282,2.465,3.534,3.731,372.431
2021-02-02,2.306,2.456,3.506,3.702,374.778
2021-02-03,2.278,2.489,3.486,3.71,377.167
2021-02-04,2.285,2.508,3.471,3.711,378.162
2021-02-05,2.278,2.525,3.529,3.647,378.847
2021-02-08,2.268,2.597,3.556,3.655,377.841
2021-02-09,2.297,2.606,3.607,3.625,376.652
2021-02-10,2.303,2.58,3.594,3.616,378.468
2021-02-11,2.26,2.595,3.568,3.633,379.048
2021-02-12,2.27,2.609,3.536,3.655,380.421
2021-02-15,2.306,2.633,3.483,3.687,382.368
2021-02-16,2.272,2.639,3.468,3.732,383.133
2021-02-17,2.239,2.617,3.475,3.682,383.14
2021-02-18,2.225,2.639,3.447,3.67,386.42
2021-02-19,2.197,2.646,3.46,3.7,381.844
2021-02-22,2.193,2.658,3.495,3.725,385.893
2021-02-23,2.192,2.668,3.504,3.748,387.078
2021-02-24,2.221,2.657,3.473,3.803,384.988
2021-02-25,2.262,2.627,3.444,3.827,383.824
2021-02-26,2.234,2.612,3.479,3.806,380.116
2021-03-01,2.256,2.591,3.451,3.822,378.283
2021-03-02,2.266,2.576,3.45,3.818,378.034
2021-03-03,2.266,2.575,3.44,3.849,374.578
2021-03-04,2.284,2.59,3.474,3.854,376.596
2021-03-05,2.268,2.595,3.509,3.881,378.197
2021-03-08,2.27,2.593,3.5,3.875,373.43
2021-03-09,2.258,2.571,3.509,3.863,371.015
2021-03-10,2.254,2.577,3.481,3.845,369.248
2021-03-11,2.285,2.564,3.477,3.898,369.676
2021-03-12,2.294,2.585,3.46,3.928,367.48
2021-03-15,2.287,2.578,3.484,3.937,364.292
2021-03-16,2.269,2.609,3.475,3.945,368.821
2021-03-17,2.284,2.638,3.448,3.944,368.647
2021-03-18,2.282,2.632,3.475,3.982,364.152
2021-03-19,2.259,2.613,3.484,3.981,361.88
2021-03-22,2.274,2.589,3.448,3.963,359.491
2021-03-23,2.253,2.568,3.477,3.961,358.496
2021-03-24,2.26,2.583,3.472,3.923,361.844
2021-03-25,2.27,2.583,3.499,3.905,361.013
2021-03-26,2.271,2.61,3.55,3.934,361.158
2021-03-29,2.294,2.601,3.553,3.942,364.709
2021-03-30,2.283,2.592,3.561,3.908,367.079
2021-03-31,2.272,2.553,3.598,3.905,364.762
2021-04-01,2.282,2.553,3.615,3.872,362.539
2021-04-02,2.291,2.542,3.582,3.897,362.928
2021-04-05,2.311,2.536,3.542,3.935,364.506
2021-04-06,2.312,2.526,3.535,3.943,361.237
2021-04-07,2.32,2.536,3.537,3.942,364.287
2021-04-08,2.349,2.528,3.528,3.997,363.453
2021-04-09,2.332,2.54,3.526,4.0,361.443
2021-04-12,2.323,2.528,3.539,3.993,362.178
2021-04-13,2.34,2.563,3.509,4.005,364.752
2021-04-14,2.328,2.553,3.543,4.014,367.3
2021-04-15,2.308,2.59,3.565,4.043,367.964
2021-04-16,2.294,2.609,3.571,4.022,366.808
2021-04-19,2.295,2.61,3.625,3.999,367.676
2021-04-20,2.315,2.621,3.659,3.981,368.432
2021-04-21,2.323,2.626,3.647,4.009,368.176
2021-04-22,2.34,2.616,3.622,4.058,368.151
2021-04-23,2.362,2.64,3.644,4.099,367.835
2021-04-26,2.376,2.671,3.677,4.075,365.153
2021-04-27,2.384,2.662,3.648,4.098,367.044
2021-04-28,2.377,2.664,3.637,4.138,369.462
2021-04-29,2.383,2.667,3.614,4.152,373.138
2021-04-30,2.411,2.69,3.535,4.122,376.17
2021-05-03,2.441,2.705,3.551,4.094,379.512
2021-05-04,2.454,2.706,3.579,4.075,377.383
2021-05-05,2.447,2.725,3.573,4.051,378.203
2021-05-06,2.444,2.773,3.595,4.01,383.993
2021-05-07,2.444,2.819,3.614,4.079,378.154
2021-05-10,2.47,2.805,3.615,4.09,373.594
2021-05-11,2.512,2.786,3.649,4.113,373.392
2021-05-12,2.54,2.802,3.653,4.087,376.575
2021-05-13,2.5,2.783,3.668,4.043,378.305
2021-05-14,2.506,2.772,3.664,4.04,379.98
2021-05-17,2.509,2.783,3.643,4.057,378.457
2021-05-18,2.503,2.776,3.612,4.078,378.567
2021-05-19,2.532,2.796,3.628,4.084,380.05
2021-05-20,2.523,2.794,3.661,4.116,382.387
2021-05-21,2.504,2.795,3.687,4.113,383.517
2021-05-24,2.495,2.749,3.721,4.176,388.192
2021-05-25,2.533,2.755,3.706,4.164,390.585
2021-05-26,2.561,2.768,3.719,4.157,391.976
2021-05-27,2.576,2.776,3.766,4.11,395.238
2021-05-28,2.589,2.752,3.753,4.16,394.259
2021-05-31,2.584,2.772,3.735,4.128,390.313
2021-06-01,2.557,2.785,3.719,4.128,392.602
2021-06-02,2.559,2.798,3.739,4.085,393.843
2021-06-03,2.566,2.786,3.695,4.052,389.295
2021-06-04,2.54,2.775,3.699,4.054,390.627
2021-06-07,2.527,2.795,3.733,4.064,391.747
2021-06-08,2.557,2.812,3.74,4.061,391.951
2021-06-09,2.573,2.79,3.737,4.064,391.706
2021-06-10,2.556,2.792,3.732,4.11,392.044
2021-06-11,2.559,2.773,3.766,4.131,388.803
2021-06-14,2.543,2.784,3.763,4.192,390.107
2021-06-15,2.551,2.797,3.774,4.139,388.549
2021-06-16,2.52,2.759,3.809,4.182,389.472
2021-06-17,2.509,2.732,3.792,4.137,390.28
2021-06-18,2.49,2.69,3.795,4.167,390.717
2021-06-21,2.495,2.729,3.761,4.199,390.651
2021-06-22,2.519,2.734,3.742,4.219,387.931
2021-06-23,2.563,2.761,3.734,4.231,387.215
2021-06-24,2.554,2.784,3.773,4.242,391.378
2021-06-25,2.524,2.784,3.754,4.265,390.708
2021-06-28,2.518,2.769,3.737,4.259,392.517
2021-06-29,2.55,2.77,3.773,4.227,399.286
2021-06-30,2.534,2.727,3.772,4.256,403.181
2021-07-01,2.556,2.736,3.807,4.228,406.286
2021-07-02,2.542,2.753,3.871,4.264,409.776
2021-07-05,2.522,2.76,3.868,4.262,406.295
2021-07-06,2.507,2.754,3.844,4.25,404.83
2021-07-07,2.51,2.73,3.89,4.2,406.51
2021-07-08,2.514,2.723,3.911,4.188,410.154
2021-07-09,2.521,2.744,3.911,4.195,412.711
2021-07-12,2.522,2.779,3.975,4.144,411.819
2021-07-13,2.534,2.763,3.977,4.124,409.028
2021-07-14,2.528,2.789,3.969,4.158,406.718
2021-07-15,2.545,2.777,3.961,4.119,406.476
2021-07-16,2.564,2.767,3.957,4.085,405.392
2021-07-19,2.569,2.812,3.939,4.086,408.915
2021-07-20,2.557,2.837,3.917,4.118,409.027
2021-07-21,2.54,2.868,3.978,4.141,406.755
2021-07-22,2.549,2.825,3.996,4.123,403.446
2021-07-23,2.552,2.862,3.971,4.178,401.274
2021-07-26,2.501,2.824,3.971,4.134,399.15
2021-07-27,2.478,2.863,3.931,4.157,396.617
2021-07-28,2.469,2.884,3.93,4.158,397.489
2021-07-29,2.453,2.855,3.952,4.184,400.827
2021-07-30,2.463,2.869,3.934,4.157,406.087
2021-08-02,2.452,2.927,3.929,4.154,409.557
2021-08-03,2.437,2.943,3.939,4.192,409.548
2021-08-04,2.478,2.96,3.929,4.138,409.684
2021-08-05,2.462,2.946,3.904,4.133,411.477
2021-08-06,2.463,2.954,3.926,4.17,409.036
2021-08-09,2.451,2.914,3.918,4.215,410.269
2021-08-10,2.446,2.923,3.935,4.246,410.887
2021-08-11,2.435,2.913,3.963,4.301,413.553
2021-08-12,2.438,2.889,3.997,4.367,410.126
2021-08-13,2.443,2.902,3.932,4.349,411.185
2021-08-16,2.466,2.882,3.902,4.309,412.184
2021-08-17,2.455,2.909,3.902,4.301,418.701
2021-08-18,2.479,2.915,3.892,4.281,416.447
2021-08-19,2.436,2.94,3.859,4.268,413.715
2021-08-20,2.459,2.959,3.863,4.268,413.07
2021-08-23,2.435,2.916,3.821,4.315,415.518
2021-08-24,2.427,2.888,3.865,4.294,417.612
2021-08-25,2.454,2.887,3.825,4.283,415.382
2021-08-26,2.491,2.893,3.87,4.306,412.382
2021-08-27,2.504,2.935,3.832,4.281,410.892
2021-08-30,2.526,2.934,3.782,4.232,412.349
2021-08-31,2.522,2.94,3.755,4.253,414.425
2021-09-01,2.575,2.949,3.773,4.229,413.155
2021-09-02,2.537,2.938,3.763,4.279,413.192
2021-09-03,2.567,2.908,3.744,4.227,411.589
2021-09-06,2.549,2.93,3.754,4.221,410.476
2021-09-07,2.559,2.944,3.789,4.251,411.753
2021-09-08,2.585,2.93,3.802,4.284,416.737
2021-09-09,2.573,2.949,3.826,4.329,417.226
2021-09-10,2.602,2.919,3.867,4.393,417.753
2021-09-13,2.619,2.958,3.836,4.436,416.535
2021-09-14,2.626,2.962,3.843,4.456,416.488
2021-09-15,2.651,3.032,3.825,4.441,417.823
2021-09-16,2.687,3.004,3.881,4.451,417.477
2021-09-17,2.706,3.015,3.892,4.458,417.268
2021-09-20,2.694,3.025,3.957,4.504,418.458
2021-09-21,2.711,3.025,3.956,4.513,418.729
2021-09-22,2.715,3.072,3.986,4.528,414.85
2021-09-23,2.685,3.093,3.937,4.55,417.338
2021-09-24,2.69,3.092,3.929,4.534,417.656
2021-09-27,2.696,3.075,3.885,4.528,415.746
2021-09-28,2.675,3.103,3.878,4.551,415.161
2021-09-29,2.669,3.157,3.825,4.53,412.904
2021-09-30,2.634,3.171,3.857,4.518,412.842
2021-10-01,2.632,3.158,3.906,4.535,414.307
2021-10-04,2.616,3.184,3.957,4.522,414.83
2021-10-05,2.586,3.161,4.004,4.535,412.952
2021-10-06,2.604,3.228,3.99,4.543,415.83
2021-10-07,2.594,3.219,3.958,4.494,416.055
2021-10-08,2.553,3.206,3.998,4.505,416.48
2021-10-11,2.56,3.213,3.991,4.576,418.488
2021-10-12,2.516,3.166,3.966,4.569,419.47
2021-10-13,2.484,3.195,4.008,4.517,417.488
2021-10-14,2.484,3.232,4.008,4.507,418.415
2021-10-15,2.474,3.207,4.085,4.554,418.969
2021-10-18,2.479,3.228,4.032,4.608,419.919
2021-10-19,2.475,3.22,4.055,4.606,423.74
2021-10-20,2.467,3.202,4.049,4.583,422.949
2021-10-21,2.477,3.208,4.074,4.556,421.48
2021-10-22,2.465,3.181,4.11,4.566,419.097
2021-10-25,2.444,3.157,4.043,4.571,417.015
2021-10-26,2.434,3.211,4.045,4.596,419.788
2021-10-27,2.445,3.178,4.019,4.591,422.327
2021-10-28,2.468,3.206,3.999,4.583,420.935
2021-10-29,2.455,3.24,3.977,4.64,420.999
2021-11-01,2.428,3.242,3.98,4.689,424.279
2021-11-02,2.43,3.224,3.882,4.69,425.178
2021-11-03,2.462,3.198,3.936,4.686,426.783
2021-11-04,2.477,3.213,3.958,4.624,429.035
2021-11-05,2.505,3.234,3.933,4.601,428.627
2021-11-08,2.509,3.27,3.986,4.649,427.082
2021-11-09,2.532,3.221,3.953,4.623,429.758
2021-11-10,2.552,3.256,3.962,4.635,431.7
2021-11-11,2.566,3.262,3.979,4.696,437.043
2021-11-12,2.586,3.234,3.958,4.753,435.452
2021-11-15,2.576,3.26,3.952,4.657,435.284
2021-11-16,2.597,3.255,3.937,4.662,433.69
2021-11-17,2.567,3.283,3.903,4.665,433.607
2021-11-18,2.547,3.239,3.931,4.64,431.764
2021-11-19,2.537,3.265,3.933,4.648,430.723
2021-11-22,2.542,3.276,3.937,4.654,431.212
2021-11-23,2.552,3.266,3.92,4.645,433.0
2021-11-24,2.563,3.235,3.951,4.612,434.0
2021-11-25,2.547,3.278,3.914,4.627,436.662
2021-11-26,2.545,3.246,3.896,4.577,434.875
2021-11-29,2.548,3.236,3.914,4.563,432.702
2021-11-30,2.522,3.277,3.955,4.524,432.585
2021-12-01,2.558,3.282,3.939,4.535,432.663
2021-12-02,2.554,3.275,3.997,4.575,430.595
2021-12-03,2.561,3.313,4.038,4.627,430.532
2021-12-06,2.541,3.31,4.07,4.635,433.21
2021-12-07,2.545,3.303,4.079,4.675,436.216
2021-12-08,2.523,3.332,4.057,4.718,435.467
2021-12-09,2.543,3.336,4.027,4.751,436.762
2021-12-10,2.536,3.313,3.995,4.82,439.356
2021-12-13,2.491,3.298,4.019,4.804,436.644
2021-12-14,2.471,3.253,3.98,4.791,437.781
2021-12-15,2.479,3.3,3.93,4.729,436.817
2021-12-16,2.497,3.254,3.987,4.739,435.228
2021-12-17,2.491,3.285,3.996,4.797,434.311
2021-12-20,2.476,3.29,3.969,4.833,434.381
2021-12-21,2.481,3.348,4.039,4.926,434.924
2021-12-22,2.477,3.352,4.01,4.982,434.935
2021-12-23,2.448,3.373,4.073,4.913,434.804
2021-12-24,2.447,3.418,4.04,4.924,436.504
2021-12-27,2.406,3.443,3.985,4.853,437.247
2021-12-28,2.393,3.412,4.016,4.837,438.288
2021-12-29,2.355,3.387,4.04,4.833,438.915
2021-12-30,2.352,3.378,3.983,4.824,440.51
2021-12-31,2.33,3.376,3.997,4.805,442.461
2022-01-03,2.325,3.403,3.997,4.877,440.77
2022-01-04,2.336,3.395,4.036,4.842,441.794
2022-01-05,2.306,3.439,4.075,4.871,445.288
2022-01-06,2.297,3.436,4.094,4.819,446.202
2022-01-07,2.261,3.462,4.181,4.81,444.931
2022-01-10,2.269,3.455,4.19,4.813,440.669
2022-01-11,2.262,3.475,4.165,4.804,445.421
2022-01-12,2.24,3.455,4.169,4.759,447.45
2022-01-13,2.257,3.466,4.174,4.744,447.863
2022-01-14,2.255,3.492,4.192,4.756,446.406
2022-01-17,2.259,3.495,4.212,4.727,446.719
2022-01-18,2.26,3.469,4.242,4.686,450.206
2022-01-19,2.255,3.532,4.208,4.746,452.585
2022-01-20,2.273,3.527,4.152,4.818,449.149
2022-01-21,2.273,3.482,4.12,4.803,447.212
2022-01-24,2.258,3.519,4.093,4.75,444.703
2022-01-25,2.268,3.565,4.13,4.812,447.077
2022-01-26,2.275,3.563,4.203,4.786,445.226
2022-01-27,2.273,3.528,4.242,4.772,440.728
2022-01-28,2.277,3.518,4.236,4.765,436.353
2022-01-31,2.254,3.523,4.247,4.789,440.913
2022-02-01,2.276,3.533,4.285,4.726,442.899
2022-02-02,2.293,3.504,4.263,4.776,446.133
2022-02-03,2.297,3.513,4.207,4.776,442.828
2022-02-04,2.311,3.51,4.166,4.793,441.77
2022-02-07,2.356,3.513,4.184,4.757,439.912
2022-02-08,2.331,3.474,4.209,4.724,438.183
2022-02-09,2.33,3.475,4.264,4.66,435.094
2022-02-10,2.331,3.48,4.279,4.714,436.192
2022-02-11,2.323,3.42,4.205,4.73,436.984
2022-02-14,2.285,3.397,4.2,4.78,435.637
2022-02-15,2.3,3.417,4.198,4.745,435.538
2022-02-16,2.278,3.369,4.2,4.784,436.446
2022-02-17,2.264,3.376,4.163,4.802,437.299
2022-02-18,2.251,3.39,4.172,4.774,433.824
2022-02-21,2.277,3.402,4.19,4.753,436.526
2022-02-22,2.263,3.403,4.195,4.723,436.533
2022-02-23,2.272,3.382,4.218,4.702,439.186
2022-02-24,2.248,3.42,4.237,4.76,438.472
2022-02-25,2.248,3.384,4.207,4.784,439.02
2022-02-28,2.229,3.411,4.231,4.709,442.72
2022-03-01,2.202,3.431,4.198,4.713,439.35
2022-03-02,2.202,3.464,4.271,4.759,438.18
2022-03-03,2.204,3.428,4.256,4.73,433.966
2022-03-04,2.233,3.409,4.226,4.787,433.575
2022-03-07,2.234,3.434,4.216,4.812,432.753
2022-03-08,2.219,3.434,4.237,4.742,432.789
2022-03-09,2.199,3.419,4.21,4.72,430.557
2022-03-10,2.234,3.406,4.279,4.744,437.914
2022-03-11,2.221,3.409,4.307,4.751,434.945
2022-03-14,2.225,3.392,4.36,4.755,432.1
2022-03-15,2.238,3.39,4.372,4.761,433.529
2022-03-16,2.231,3.359,4.333,4.77,433.624
2022-03-17,2.218,3.346,4.3,4.837,433.663
2022-03-18,2.186,3.338,4.295,4.785,436.706
2022-03-21,2.187,3.291,4.276,4.729,439.371
2022-03-22,2.224,3.275,4.198,4.702,437.565
2022-03-23,2.214,3.311,4.232,4.667,436.438
2022-03-24,2.232,3.326,4.213,4.618,439.75
2022-03-25,2.218,3.314,4.183,4.591,440.465
2022-03-28,2.233,3.312,4.151,4.542,437.514
2022-03-29,2.229,3.317,4.179,4.571,438.215
2022-03-30,2.259,3.315,4.15,4.588,436.684
2022-03-31,2.277,3.316,4.168,4.549,435.387
2022-04-01,2.271,3.328,4.15,4.548,437.063
2022-04-04,2.322,3.344,4.148,4.551,437.63
2022-04-05,2.309,3.375,4.156,4.518,436.45
2022-04-06,2.273,3.37,4.144,4.55,436.155
2022-04-07,2.272,3.36,4.154,4.524,436.665
2022-04-08,2.254,3.374,4.193,4.489,435.658
2022-04-11,2.258,3.336,4.204,4.478,436.837
2022-04-12,2.247,3.357,4.238,4.449,434.269
2022-04-13,2.243,3.369,4.285,4.441,436.549
2022-04-14,2.242,3.4,4.338,4.436,438.726
2022-04-15,2.238,3.365,4.337,4.434,432.311
2022-04-18,2.223,3.312,4.356,4.397,432.304
2022-04-19,2.224,3.305,4.387,4.417,435.146
2022-04-20,2.233,3.314,4.435,4.456,430.296
2022-04-21,2.225,3.298,4.4,4.418,430.476
2022-04-22,2.217,3.298,4.46,4.451,431.212
2022-04-25,2.222,3.357,4.52,4.512,429.563
2022-04-26,2.198,3.35,4.573,4.5,431.491
2022-04-27,2.186,3.337,4.635,4.517,432.849
2022-04-28,2.199,3.308,4.677,4.491,428.417
2022-04-29,2.195,3.316,4.687,4.427,430.181
2022-05-02,2.192,3.29,4.697,4.418,432.022
2022-05-03,2.24,3.303,4.708,4.421,437.251
2022-05-04,2.242,3.248,4.733,4.446,439.098
2022-05-05,2.238,3.25,4.609,4.446,443.873
2022-05-06,2.224,3.204,4.62,4.38,448.991
2022-05-09,2.225,3.231,4.601,4.411,454.371
2022-05-10,2.171,3.249,4.552,4.434,460.047
2022-05-11,2.137,3.275,4.532,4.446,459.458
2022-05-12,2.151,3.277,4.51,4.456,460.661
2022-05-13,2.152,3.251,4.53,4.445,465.882
2022-05-16,2.172,3.273,4.532,4.426,461.509
2022-05-17,2.163,3.266,4.482,4.453,462.849
2022-05-18,2.181,3.3,4.534,4.43,461.709
2022-05-19,2.185,3.306,4.554,4.446,462.744
2022-05-20,2.23,3.323,4.625,4.467,457.923
2022-05-23,2.195,3.325,4.572,4.408,457.221
2022-05-24,2.207,3.368,4.565,4.449,454.316
2022-05-25,2.215,3.388,4.505,4.417,455.101
2022-05-26,2.194,3.478,4.508,4.356,461.868
2022-05-27,2.21,3.492,4.596,4.338,461.475
2022-05-30,2.232,3.518,4.626,4.352,458.931
2022-05-31,2.244,3.504,4.574,4.38,460.529
2022-06-01,2.264,3.504,4.594,4.365,466.409
2022-06-02,2.258,3.507,4.564,4.356,468.054
2022-06-03,2.289,3.459,4.583,4.325,468.368
2022-06-06,2.276,3.449,4.586,4.361,466.684
2022-06-07,2.276,3.448,4.589,4.309,472.759
2022-06-08,2.265,3.45,4.571,4.321,473.275
2022-06-09,2.256,3.454,4.532,4.329,473.78
2022-06-10,2.25,3.46,4.484,4.31,475.139
2022-06-13,2.233,3.466,4.526,4.303,475.12
2022-06-14,2.227,3.469,4.498,4.298,474.612
2022-06-15,2.23,3.489,4.551,4.314,475.688
2022-06-16,2.221,3.462,4.575,4.3,474.044
2022-06-17,2.237,3.498,4.583,4.331,477.433
2022-06-20,2.223,3.478,4.565,4.341,479.303
2022-06-21,2.209,3.435,4.471,4.388,481.609
2022-06-22,2.215,3.41,4.488,4.406,481.03
2022-06-23,2.223,3.383,4.474,4.402,483.67
2022-06-24,2.193,3.354,4.486,4.445,484.553
2022-06-27,2.175,3.327,4.392,4.483,483.459
2022-06-28,2.184,3.314,4.402,4.481,486.538
2022-06-29,2.164,3.298,4.395,4.533,487.245
2022-06-30,2.153,3.299,4.351,4.585,489.79
2022-07-01,2.114,3.334,4.388,4.611,489.557
2022-07-04,2.131,3.38,4.348,4.611,489.177
2022-07-05,2.106,3.364,4.315,4.646,494.199
2022-07-06,2.112,3.372,4.387,4.693,495.709
2022-07-07,2.139,3.372,4.351,4.695,496.465
2022-07-08,2.139,3.38,4.338,4.662,497.853
2022-07-11,2.162,3.389,4.327,4.665,492.391
2022-07-12,2.159,3.396,4.314,4.604,493.521
2022-07-13,2.14,3.419,4.293,4.577,490.729
2022-07-14,2.122,3.411,4.306,4.533,496.009
2022-07-15,2.117,3.415,4.285,4.523,493.638
2022-07-18,2.145,3.434,4.307,4.481,496.478
2022-07-19,2.176,3.418,4.367,4.506,496.242
2022-07-20,2.181,3.415,4.376,4.514,494.217
2022-07-21,2.198,3.4,4.334,4.492,494.315
2022-07-22,2.212,3.406,4.329,4.503,492.027
2022-07-25,2.182,3.376,4.377,4.491,489.565
2022-07-26,2.198,3.392,4.351,4.439,492.706
2022-07-27,2.183,3.382,4.276,4.482,490.654
2022-07-28,2.17,3.395,4.195,4.467,488.333
2022-07-29,2.174,3.383,4.219,4.505,492.532
2022-08-01,2.233,3.408,4.271,4.513,492.143
2022-08-02,2.23,3.405,4.285,4.543,495.559
2022-08-03,2.246,3.388,4.286,4.557,495.621
2022-08-04,2.223,3.361,4.304,4.53,491.237
2022-08-05,2.237,3.358,4.221,4.459,492.251
2022-08-08,2.239,3.405,4.222,4.491,490.153
2022-08-09,2.241,3.389,4.271,4.486,493.447
2022-08-10,2.221,3.362,4.247,4.464,490.77
2022-08-11,2.215,3.371,4.323,4.443,491.108
2022-08-12,2.192,3.356,4.339,4.384,489.085
2022-08-15,2.18,3.332,4.33,4.372,486.682
2022-08-16,2.17,3.316,4.291,4.327,483.708
2022-08-17,2.145,3.295,4.261,4.328,480.11
2022-08-18,2.15,3.291,4.215,4.351,478.489
2022-08-19,2.168,3.324,4.241,4.407,478.407
2022-08-22,2.197,3.33,4.254,4.482,476.102
2022-08-23,2.241,3.295,4.286,4.523,470.749
2022-08-24,2.244,3.338,4.265,4.557,472.291
2022-08-25,2.229,3.328,4.291,4.551,471.793
2022-08-26,2.229,3.267,4.247,4.519,469.51
2022-08-29,2.221,3.259,4.237,4.544,466.91
2022-08-30,2.237,3.317,4.244,4.571,461.161
2022-08-31,2.247,3.313,4.235,4.636,463.333
2022-09-01,2.236,3.325,4.21,4.609,460.037
2022-09-02,2.237,3.327,4.269,4.576,461.782
2022-09-05,2.23,3.289,4.308,4.594,462.539
2022-09-06,2.187,3.358,4.331,4.57,462.496
2022-09-07,2.187,3.403,4.295,4.604,465.944
2022-09-08,2.185,3.44,4.33,4.555,465.372
2022-09-09,2.199,3.416,4.313,4.522,459.745
2022-09-12,2.197,3.426,4.316,4.593,460.301
2022-09-13,2.186,3.468,4.327,4.603,462.445
2022-09-14,2.203,3.462,4.336,4.577,462.39
2022-09-15,2.23,3.449,4.326,4.611,458.112
2022-09-16,2.202,3.436,4.28,4.64,456.498
2022-09-19,2.211,3.405,4.329,4.604,458.269
2022-09-20,2.222,3.392,4.289,4.578,454.982
2022-09-21,2.212,3.376,4.274,4.564,450.772
2022-09-22,2.188,3.385,4.233,4.619,454.729
2022-09-23,2.174,3.363,4.262,4.662,453.212
2022-09-26,2.151,3.35,4.323,4.633,456.071
2022-09-27,2.168,3.358,4.399,4.626,453.359
2022-09-28,2.168,3.376,4.414,4.655,453.895
2022-09-29,2.157,3.417,4.499,4.715,453.563
2022-09-30,2.144,3.414,4.515,4.654,445.637
2022-10-03,2.12,3.434,4.408,4.602,445.29
2022-10-04,2.108,3.443,4.412,4.584,446.137
2022-10-05,2.11,3.444,4.43,4.52,446.73
2022-10-06,2.107,3.465,4.423,4.513,445.63
2022-10-07,2.101,3.446,4.382,4.523,447.881
2022-10-10,2.091,3.435,4.313,4.518,451.146
2022-10-11,2.094,3.448,4.313,4.526,453.929
2022-10-12,2.095,3.477,4.273,4.543,455.524
2022-10-13,2.109,3.49,4.241,4.576,452.129
2022-10-14,2.126,3.5,4.256,4.608,453.799
2022-10-17,2.11,3.508,4.289,4.581,452.741
2022-10-18,2.111,3.539,4.249,4.645,451.306
2022-10-19,2.111,3.568,4.264,4.673,453.68
2022-10-20,2.096,3.566,4.277,4.688,455.995
2022-10-21,2.104,3.584,4.263,4.739,457.198
2022-10-24,2.111,3.601,4.248,4.812,457.689
2022-10-25,2.134,3.597,4.217,4.802,457.493
2022-10-26,2.1,3.574,4.266,4.76,460.18
2022-10-27,2.097,3.562,4.31,4.742,459.151
2022-10-28,2.125,3.541,4.323,4.672,460.784
2022-10-31,2.124,3.504,4.388,4.716,462.326
2022-11-01,2.11,3.533,4.41,4.676,464.496
2022-11-02,2.129,3.544,4.467,4.621,461.311
2022-11-03,2.135,3.547,4.507,4.661,462.111
2022-11-04,2.159,3.576,4.485,4.698,459.845
2022-11-07,2.163,3.602,4.564,4.669,459.137
2022-11-08,2.176,3.62,4.588,4.675,460.482
2022-11-09,2.187,3.638,4.596,4.681,460.73
2022-11-10,2.161,3.684,4.567,4.719,464.776
2022-11-11,2.181,3.659,4.557,4.708,464.76
2022-11-14,2.168,3.663,4.583,4.724,466.281
2022-11-15,2.161,3.669,4.592,4.715,469.258
2022-11-16,2.159,3.65,4.583,4.671,461.606
2022-11-17,2.17,3.643,4.575,4.62,458.662
2022-11-18,2.18,3.598,4.54,4.677,459.887
2022-11-21,2.157,3.586,4.544,4.695,462.874
2022-11-22,2.155,3.591,4.57,4.663,461.715
2022-11-23,2.147,3.574,4.585,4.692,469.153
2022-11-24,2.134,3.574,4.682,4.749,469.148
2022-11-25,2.114,3.56,4.694,4.779,469.583
2022-11-28,2.105,3.596,4.693,4.755,467.143
2022-11-29,2.102,3.619,4.633,4.746,469.366
2022-11-30,2.123,3.586,4.577,4.777,470.509
2022-12-01,2.116,3.605,4.595,4.84,468.863
2022-12-02,2.108,3.604,4.64,4.809,472.925
2022-12-05,2.083,3.625,4.669,4.781,470.663
2022-12-06,2.082,3.632,4.655,4.728,475.651
2022-12-07,2.112,3.62,4.711,4.749,478.237
2022-12-08,2.094,3.609,4.706,4.709,478.533
2022-12-09,2.087,3.614,4.701,4.729,478.829
2022-12-12,2.055,3.606,4.768,4.677,477.223
2022-12-13,2.041,3.619,4.74,4.67,474.837
2022-12-14,2.024,3.606,4.73,4.737,476.242
2022-12-15,2.028,3.569,4.682,4.817,475.275
2022-12-16,2.035,3.601,4.66,4.822,469.34
2022-12-19,2.028,3.624,4.67,4.82,473.298
2022-12-20,2.017,3.668,4.762,4.789,472.237
2022-12-21,2.012,3.637,4.761,4.771,471.467
2022-12-22,2.015,3.637,4.753,4.794,472.453
2022-12-23,2.016,3.614,4.685,4.819,472.021
